Precinct,1ST CHOICE COUNCIL MEMBER WARD THREE WARD 3,2ND CHOICE COUNCIL MEMBER WARD THREE WARD 3,3RD CHOICE COUNCIL MEMBER WARD THREE WARD 3,COUNT
MINNEAPOLIS W-3 P-06,JACOB FREY,KRISTINA GRONQUIST,MICHAEL KATCH,1
MINNEAPOLIS W-3 P-07,DIANE HOFSTEDE,JACOB FREY,undervote,1
MINNEAPOLIS W-3 P-06,JACOB FREY,DIANE HOFSTEDE,undervote,1
MINNEAPOLIS W-3 P-04,JACOB FREY,DIANE HOFSTEDE,undervote,1
MINNEAPOLIS W-3 P-06,DIANE HOFSTEDE,JACOB FREY,undervote,1
MINNEAPOLIS W-3 P-07,JACOB FREY,DIANE HOFSTEDE,KRISTINA GRONQUIST,1
MINNEAPOLIS W-3 P-03,JACOB FREY,KRISTINA GRONQUIST,undervote,1
MINNEAPOLIS W-3 P-06,JACOB FREY,DIANE HOFSTEDE,KRISTINA GRONQUIST,1
MINNEAPOLIS W-3 P-03,KRISTINA GRONQUIST,JACOB FREY,undervote,1
MINNEAPOLIS W-3 P-09,JACOB FREY,DIANE HOFSTEDE,undervote,1
MINNEAPOLIS W-3 P-04,DIANE HOFSTEDE,undervote,undervote,1
MINNEAPOLIS W-3 P-04,JACOB FREY,MICHAEL KATCH,KRISTINA GRONQUIST,1
MINNEAPOLIS W-3 P-08,JACOB FREY,DIANE HOFSTEDE,KRISTINA GRONQUIST,1
MINNEAPOLIS W-3 P-09,JACOB FREY,KRISTINA GRONQUIST,DIANE HOFSTEDE,1
MINNEAPOLIS W-3 P-09,JACOB FREY,DIANE HOFSTEDE,KRISTINA GRONQUIST,1
MINNEAPOLIS W-3 P-07,JACOB FREY,DIANE HOFSTEDE,undervote,1
MINNEAPOLIS W-3 P-08,DIANE HOFSTEDE,KRISTINA GRONQUIST,JACOB FREY,1
MINNEAPOLIS W-3 P-04,JACOB FREY,JACOB FREY,JACOB FREY,1
MINNEAPOLIS W-3 P-07,MICHAEL KATCH,undervote,undervote,1
MINNEAPOLIS W-3 P-05,JACOB FREY,DIANE HOFSTEDE,undervote,1
MINNEAPOLIS W-3 P-04,JACOB FREY,KRISTINA GRONQUIST,DIANE HOFSTEDE,1
MINNEAPOLIS W-3 P-03,DIANE HOFSTEDE,JACOB FREY,undervote,1
MINNEAPOLIS W-3 P-03,DIANE HOFSTEDE,undervote,undervote,1
