Precinct,1ST CHOICE COUNCIL MEMBER WARD SIX WARD 6,2ND CHOICE COUNCIL MEMBER WARD SIX WARD 6,3RD CHOICE COUNCIL MEMBER WARD SIX WARD 6,COUNT
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,ABUKAR ABDI,ABDI WARSAME,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ROBERT LILLIGREN,ABDI WARSAME,MAHAMED A CALI,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,MAHAMED A CALI,ABDI WARSAME,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,UWI,UWI,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,ABUKAR ABDI,MAHAMED A CALI,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-09,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-05,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ROBERT LILLIGREN,ABDI WARSAME,UWI,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,ABUKAR ABDI,ABDI WARSAME,1
MINNEAPOLIS W-6 P-06,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-08,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-05,ROBERT LILLIGREN,ABUKAR ABDI,SHEIKH ABDUL,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-05,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,ROBERT LILLIGREN,ABDI ADDOW,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI ADDOW,ROBERT LILLIGREN,MAHAMED A CALI,1
MINNEAPOLIS W-6 P-05,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-07,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ABDI ADDOW,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,SHEIKH ABDUL,ABUKAR ABDI,1
MINNEAPOLIS W-6 P-05,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,ROBERT LILLIGREN,MAHAMED A CALI,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,SHEIKH ABDUL,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,ABDI WARSAME,ABDI WARSAME,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-07,ABDI WARSAME,ABDI WARSAME,ABDI WARSAME,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,UWI,UWI,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABUKAR ABDI,SHEIKH ABDUL,ABDI WARSAME,1
MINNEAPOLIS W-6 P-09,ABDI WARSAME,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,ABDI WARSAME,ABDI ADDOW,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,SHEIKH ABDUL,ABDI ADDOW,1
MINNEAPOLIS W-6 P-07,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ROBERT LILLIGREN,MAHAMED A CALI,ABUKAR ABDI,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-07,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,ABDI WARSAME,MAHAMED A CALI,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-07,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-07,UWI,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,MAHAMED A CALI,ABUKAR ABDI,1
MINNEAPOLIS W-6 P-05,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-06,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-06,ROBERT LILLIGREN,UWI,UWI,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-05,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ROBERT LILLIGREN,ABDI WARSAME,UWI,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-05,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-05,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,ROBERT LILLIGREN,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,ABDI ADDOW,ABDI WARSAME,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-07,ROBERT LILLIGREN,MAHAMED A CALI,ABUKAR ABDI,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,ABDI ADDOW,SHEIKH ABDUL,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ROBERT LILLIGREN,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-04,ABDI ADDOW,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,ABDI WARSAME,ABDI WARSAME,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,ABDI WARSAME,undervote,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-02,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-01,ROBERT LILLIGREN,MAHAMED A CALI,SHEIKH ABDUL,1
MINNEAPOLIS W-6 P-03,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-6 P-08,ROBERT LILLIGREN,undervote,undervote,1
MINNEAPOLIS W-6 P-04,ABDI WARSAME,undervote,undervote,1
MINNEAPOLIS W-6 P-09,ROBERT LILLIGREN,ABDI ADDOW,ABDI WARSAME,1
MINNEAPOLIS W-6 P-08,ABDI WARSAME,undervote,undervote,1
